"gender"	"Age"	"attitude"	"deepX"	"straX"	"surfX"	"Points"
"1"	"F"	53	3.7	0.298611111111111	0.421875	0.215277777777778	25
"2"	"M"	55	3.1	0.243055555555556	0.34375	0.263888888888889	12
"3"	"F"	49	2.5	0.291666666666667	0.453125	0.1875	24
"4"	"M"	53	3.5	0.291666666666667	0.390625	0.1875	10
"5"	"M"	49	3.7	0.305555555555556	0.453125	0.236111111111111	22
"6"	"F"	38	3.8	0.395833333333333	0.453125	0.201388888888889	21
"7"	"M"	50	3.5	0.319444444444444	0.28125	0.159722222222222	21
"8"	"F"	37	2.9	0.270833333333333	0.5	0.236111111111111	31
"9"	"M"	37	3.8	0.361111111111111	0.53125	0.180555555555556	24
"10"	"F"	42	2.1	0.333333333333333	0.4375	0.25	26
"11"	"M"	37	3.9	0.298611111111111	0.453125	0.222222222222222	31
"12"	"F"	34	3.8	0.319444444444444	0.59375	0.201388888888889	31
"13"	"F"	34	2.4	0.354166666666667	0.453125	0.1875	23
"14"	"F"	34	3	0.277777777777778	0.4375	0.229166666666667	25
"15"	"M"	35	2.6	0.347222222222222	0.21875	0.194444444444444	21
"16"	"F"	33	4.1	0.305555555555556	0.484375	0.194444444444444	31
"17"	"F"	32	2.6	0.340277777777778	0.171875	0.243055555555556	20
"18"	"F"	44	2.6	0.291666666666667	0.40625	0.208333333333333	22
"19"	"M"	29	1.7	0.340277777777778	0.375	0.3125	9
"20"	"F"	30	2.7	0.333333333333333	0.46875	0.229166666666667	24
"21"	"M"	27	3.9	0.326388888888889	0.328125	0.194444444444444	28
"22"	"M"	29	3.4	0.333333333333333	0.296875	0.201388888888889	30
"23"	"F"	31	2.7	0.333333333333333	0.453125	0.25	24
"24"	"F"	37	2.3	0.305555555555556	0.34375	0.201388888888889	9
"25"	"F"	26	3.7	0.305555555555556	0.21875	0.236111111111111	26
"26"	"F"	26	4.4	0.368055555555556	0.40625	0.263888888888889	32
"27"	"M"	30	4.1	0.326388888888889	0.5	0.25	32
"28"	"F"	33	3.7	0.3125	0.453125	0.166666666666667	33
"29"	"F"	33	2.5	0.270833333333333	0.359375	0.291666666666667	29
"30"	"M"	28	3	0.298611111111111	0.375	0.3125	30
"31"	"M"	26	3.4	0.409722222222222	0.203125	0.208333333333333	19
"32"	"F"	27	3.2	0.298611111111111	0.40625	0.173611111111111	23
"33"	"F"	25	2	0.243055555555556	0.4375	0.201388888888889	19
"34"	"F"	31	2.4	0.305555555555556	0.375	0.215277777777778	12
"35"	"M"	20	4.2	0.375	0.40625	0.131944444444444	10
"36"	"F"	39	1.6	0.340277777777778	0.234375	0.236111111111111	11
"37"	"M"	38	3.1	0.319444444444444	0.546875	0.152777777777778	20
"38"	"M"	24	3.8	0.270833333333333	0.453125	0.201388888888889	26
"39"	"M"	26	3.8	0.194444444444444	0.3125	0.270833333333333	31
"40"	"M"	25	3.3	0.277777777777778	0.15625	0.284722222222222	20
"41"	"F"	30	1.7	0.340277777777778	0.5	0.284722222222222	23
"42"	"F"	25	2.5	0.243055555555556	0.375	0.263888888888889	12
"43"	"M"	30	3.2	0.277777777777778	0.3125	0.291666666666667	24
"44"	"F"	48	3.5	0.319444444444444	0.609375	0.222222222222222	17
"45"	"F"	24	3.2	0.305555555555556	0.625	0.201388888888889	29
"46"	"F"	40	4.2	0.388888888888889	0.546875	0.298611111111111	23
"47"	"M"	25	3.1	0.3125	0.40625	0.173611111111111	28
"48"	"F"	23	3.9	0.284722222222222	0.5	0.3125	31
"49"	"F"	25	1.9	0.347222222222222	0.390625	0.243055555555556	23
"50"	"F"	23	2.1	0.243055555555556	0.3125	0.243055555555556	25
"51"	"M"	27	2.5	0.347222222222222	0.390625	0.201388888888889	18
"52"	"M"	25	3.2	0.298611111111111	0.40625	0.25	19
"53"	"M"	23	3.2	0.236111111111111	0.265625	0.284722222222222	22
"54"	"F"	23	2.6	0.333333333333333	0.34375	0.243055555555556	25
"55"	"F"	23	2.3	0.243055555555556	0.296875	0.270833333333333	21
"56"	"F"	45	3.8	0.25	0.390625	0.270833333333333	9
"57"	"F"	22	2.8	0.340277777777778	0.5	0.194444444444444	28
"58"	"F"	23	3.3	0.243055555555556	0.5	0.270833333333333	25
"59"	"M"	21	4.8	0.291666666666667	0.28125	0.208333333333333	29
"60"	"M"	21	4	0.361111111111111	0.40625	0.145833333333333	33
"61"	"F"	21	4	0.354166666666667	0.453125	0.1875	33
"62"	"F"	21	4.7	0.284722222222222	0.453125	0.173611111111111	25
"63"	"F"	26	2.3	0.256944444444444	0.3125	0.236111111111111	18
"64"	"F"	25	3.1	0.381944444444444	0.234375	0.236111111111111	22
"65"	"F"	26	2.7	0.284722222222222	0.25	0.201388888888889	17
"66"	"M"	21	4.1	0.284722222222222	0.234375	0.1875	25
"67"	"F"	23	3.4	0.284722222222222	0.5	0.236111111111111	28
"68"	"F"	22	2.5	0.298611111111111	0.359375	0.1875	22
"69"	"F"	22	2.1	0.131944444444444	0.484375	0.152777777777778	26
"70"	"F"	22	1.4	0.277777777777778	0.3125	0.243055555555556	11
"71"	"F"	23	1.9	0.361111111111111	0.34375	0.243055555555556	29
"72"	"M"	22	3.7	0.368055555555556	0.5625	0.173611111111111	22
"73"	"M"	23	3.2	0.402777777777778	0.421875	0.194444444444444	21
"74"	"M"	24	2.8	0.256944444444444	0.328125	0.201388888888889	28
"75"	"F"	22	4.1	0.25	0.515625	0.229166666666667	33
"76"	"F"	23	2.5	0.340277777777778	0.328125	0.270833333333333	16
"77"	"M"	22	2.8	0.340277777777778	0.28125	0.145833333333333	31
"78"	"M"	20	3.8	0.3125	0.34375	0.215277777777778	22
"79"	"M"	22	3.1	0.256944444444444	0.375	0.277777777777778	31
"80"	"M"	21	3.5	0.395833333333333	0.203125	0.236111111111111	23
"81"	"F"	22	3.6	0.354166666666667	0.234375	0.208333333333333	26
"82"	"F"	23	2.6	0.347222222222222	0.421875	0.201388888888889	12
"83"	"M"	21	4.4	0.368055555555556	0.46875	0.201388888888889	26
"84"	"M"	22	4.5	0.319444444444444	0.265625	0.215277777777778	31
"85"	"M"	29	3.2	0.277777777777778	0.296875	0.25	19
"86"	"F"	29	3.9	0.263888888888889	0.34375	0.166666666666667	30
"87"	"F"	21	2.5	0.263888888888889	0.390625	0.284722222222222	12
"88"	"M"	28	3.3	0.319444444444444	0.4375	0.236111111111111	17
"89"	"F"	21	3.3	0.354166666666667	0.328125	0.1875	18
"90"	"F"	30	3	0.319444444444444	0.421875	0.229166666666667	19
"91"	"F"	21	2.9	0.305555555555556	0.28125	0.326388888888889	21
"92"	"M"	23	3.3	0.319444444444444	0.375	0.194444444444444	24
"93"	"F"	21	3.3	0.319444444444444	0.5	0.229166666666667	28
"94"	"F"	21	3.5	0.319444444444444	0.4375	0.229166666666667	17
"95"	"F"	20	3.6	0.305555555555556	0.328125	0.243055555555556	18
"96"	"M"	22	3.7	0.361111111111111	0.3125	0.173611111111111	17
"97"	"M"	21	4.2	0.3125	0.46875	0.305555555555556	23
"98"	"M"	21	3.2	0.347222222222222	0.453125	0.236111111111111	26
"99"	"F"	20	5	0.333333333333333	0.515625	0.284722222222222	28
"100"	"M"	22	4.7	0.333333333333333	0.546875	0.131944444444444	31
"101"	"F"	20	3.6	0.381944444444444	0.328125	0.243055555555556	27
"102"	"F"	20	3.6	0.305555555555556	0.5	0.25	25
"103"	"M"	24	2.9	0.305555555555556	0.34375	0.243055555555556	23
"104"	"F"	20	3.5	0.319444444444444	0.34375	0.222222222222222	21
"105"	"F"	19	4	0.215277777777778	0.171875	0.25	27
"106"	"F"	21	3.5	0.291666666666667	0.28125	0.229166666666667	28
"107"	"F"	21	3.2	0.256944444444444	0.453125	0.256944444444444	23
"108"	"F"	22	2.6	0.354166666666667	0.46875	0.208333333333333	21
"109"	"F"	25	2	0.263888888888889	0.5	0.194444444444444	25
"110"	"F"	21	2.7	0.256944444444444	0.390625	0.25	11
"111"	"F"	22	3.2	0.347222222222222	0.40625	0.25	19
"112"	"F"	25	3.3	0.1875	0.265625	0.333333333333333	24
"113"	"F"	20	3.9	0.277777777777778	0.359375	0.270833333333333	28
"114"	"M"	24	3.3	0.256944444444444	0.1875	0.291666666666667	21
"115"	"F"	20	3	0.229166666666667	0.3125	0.291666666666667	24
"116"	"M"	21	3.7	0.270833333333333	0.40625	0.319444444444444	24
"117"	"F"	20	2.5	0.333333333333333	0.453125	0.243055555555556	20
"118"	"F"	20	2.9	0.298611111111111	0.484375	0.180555555555556	19
"119"	"M"	31	3.9	0.340277777777778	0.484375	0.138888888888889	30
"120"	"F"	20	3.6	0.354166666666667	0.296875	0.173611111111111	22
"121"	"F"	22	2.9	0.284722222222222	0.375	0.236111111111111	16
"122"	"F"	22	2.1	0.256944444444444	0.421875	0.284722222222222	16
"123"	"M"	21	3.1	0.291666666666667	0.34375	0.277777777777778	19
"124"	"M"	22	4	0.305555555555556	0.5625	0.215277777777778	30
"125"	"F"	21	3.1	0.354166666666667	0.328125	0.236111111111111	23
"126"	"F"	21	2.3	0.354166666666667	0.34375	0.277777777777778	19
"127"	"F"	21	2.8	0.319444444444444	0.40625	0.25	18
"128"	"F"	21	3.7	0.368055555555556	0.515625	0.215277777777778	28
"129"	"F"	20	2.6	0.291666666666667	0.421875	0.201388888888889	21
"130"	"F"	21	2.4	0.298611111111111	0.34375	0.298611111111111	19
"131"	"F"	25	3	0.305555555555556	0.515625	0.173611111111111	27
"132"	"M"	21	2.8	0.173611111111111	0.40625	0.361111111111111	24
"133"	"F"	24	2.9	0.354166666666667	0.359375	0.222222222222222	21
"134"	"F"	20	2.4	0.298611111111111	0.359375	0.25	20
"135"	"M"	21	3.1	0.333333333333333	0.296875	0.222222222222222	28
"136"	"F"	20	1.9	0.277777777777778	0.484375	0.180555555555556	12
"137"	"F"	20	2	0.291666666666667	0.265625	0.222222222222222	21
"138"	"F"	18	3.8	0.263888888888889	0.5	0.1875	28
"139"	"F"	21	3.4	0.298611111111111	0.40625	0.222222222222222	31
"140"	"F"	19	3.7	0.284722222222222	0.328125	0.277777777777778	18
"141"	"F"	21	2.9	0.354166666666667	0.34375	0.291666666666667	25
"142"	"F"	20	2.3	0.270833333333333	0.5	0.229166666666667	19
"143"	"M"	21	4.1	0.368055555555556	0.375	0.166666666666667	21
"144"	"F"	20	2.7	0.270833333333333	0.421875	0.236111111111111	16
"145"	"F"	21	3.5	0.326388888888889	0.484375	0.291666666666667	7
"146"	"F"	20	3.4	0.298611111111111	0.40625	0.208333333333333	21
"147"	"F"	18	3.2	0.375	0.421875	0.263888888888889	17
"148"	"M"	22	3.3	0.298611111111111	0.515625	0.256944444444444	22
"149"	"F"	22	3.3	0.305555555555556	0.4375	0.243055555555556	18
"150"	"M"	24	3.5	0.215277777777778	0.25	0.263888888888889	25
"151"	"F"	19	3.2	0.347222222222222	0.453125	0.208333333333333	24
"152"	"F"	20	3.1	0.270833333333333	0.421875	0.319444444444444	23
"153"	"F"	20	2.8	0.361111111111111	0.265625	0.1875	23
"154"	"F"	17	1.7	0.326388888888889	0.578125	0.284722222222222	26
"155"	"M"	19	1.9	0.222222222222222	0.3125	0.3125	12
"156"	"F"	20	3.5	0.256944444444444	0.359375	0.25	32
"157"	"F"	20	2.4	0.3125	0.34375	0.215277777777778	22
"158"	"F"	20	2.1	0.347222222222222	0.5	0.277777777777778	20
"159"	"F"	20	2.9	0.347222222222222	0.296875	0.236111111111111	21
"160"	"F"	19	1.9	0.270833333333333	0.484375	0.25	23
"161"	"F"	19	2	0.340277777777778	0.421875	0.236111111111111	20
"162"	"F"	22	4.2	0.243055555555556	0.21875	0.263888888888889	28
"163"	"M"	35	4.1	0.319444444444444	0.375	0.229166666666667	31
"164"	"F"	18	3.7	0.263888888888889	0.328125	0.284722222222222	18
"165"	"F"	19	3.6	0.284722222222222	0.328125	0.25	30
"166"	"M"	21	1.8	0.340277777777778	0.421875	0.222222222222222	19
